iteration,prob_high,du_count,count_high,parent_mean_high,parent_sd_high,parent_mean_low,parent_sd_low,pilot_du_count,pilot_ucl,action_level,pilot_ratio,count_pilot_ucl_exceeds,count_true_mean_exceeds,prop_pilot_ucl_exceeds,prop_true_mean_exceeds,a,b,match,match_desc
31,0.068056316,100,9,600,900,100,150,85,280.2230149,533.5612894,0.525193676,7,5,0.082352941,0.05,0,0,1,Not in Compliance - Correct
32,0.091021961,100,10,600,900,100,150,36,221.1022036,2560.793633,0.086341281,0,0,0,0,1,1,4,Compliance - Correct
33,0.162968972,100,16,600,900,100,150,18,301.345103,4689.54541,0.064258916,0,0,0,0,1,1,4,Compliance - Correct
34,0.190804453,100,17,600,900,100,150,80,449.7564893,1361.818897,0.330261601,7,1,0.0875,0.01,0,0,1,Not in Compliance - Correct
35,0.106416125,100,11,600,900,100,150,64,322.5721601,1599.459004,0.201675791,3,0,0.046875,0,0,1,2,Not in Compliance - Error
36,0.11488745,100,12,600,900,100,150,77,295.0451305,3327.517761,0.088668236,0,0,0,0,1,1,4,Compliance - Correct
37,0.199280678,100,19,600,900,100,150,33,372.2259977,1488.255477,0.250108939,2,0,0.060606061,0,0,1,2,Not in Compliance - Error
38,0.113459765,100,12,600,900,100,150,36,200.7138205,5246.629791,0.038255762,0,0,0,0,1,1,4,Compliance - Correct
39,0.064370612,100,6,600,900,100,150,87,348.1636666,3943.601765,0.088285706,1,0,0.011494253,0,0,1,2,Not in Compliance - Error
40,0.076790827,100,11,600,900,100,150,61,236.3454229,4091.711609,0.057761994,0,0,0,0,1,1,4,Compliance - Correct
41,0.241392699,100,19,600,900,100,150,23,445.4289823,5773.973609,0.077144271,0,0,0,0,1,1,4,Compliance - Correct
42,0.18217879,100,25,600,900,100,150,70,358.7999478,3312.804771,0.108307,0,0,0,0,1,1,4,Compliance - Correct
43,0.097234331,100,8,600,900,100,150,24,254.0853706,4498.552093,0.056481589,0,0,0,0,1,1,4,Compliance - Correct
44,0.166018251,100,16,600,900,100,150,10,490.1283954,4831.445406,0.1014455,0,0,0,0,1,1,4,Compliance - Correct
45,0.196834991,100,22,600,900,100,150,14,343.5289855,783.2413858,0.438599124,2,2,0.142857143,0.02,0,0,1,Not in Compliance - Correct
46,0.204009584,100,22,600,900,100,150,24,406.2283513,1597.723955,0.254254404,1,0,0.041666667,0,0,1,2,Not in Compliance - Error
47,0.091668299,100,10,600,900,100,150,77,224.1494308,5152.847423,0.04350011,0,0,0,0,1,1,4,Compliance - Correct
48,0.205660524,100,17,600,900,100,150,42,307.1047608,4177.747825,0.073509645,0,0,0,0,1,1,4,Compliance - Correct
49,0.126462704,100,12,600,900,100,150,85,280.3543529,5220.809546,0.053699402,0,0,0,0,1,1,4,Compliance - Correct
50,0.192544298,100,19,600,900,100,150,72,412.5781745,1268.675981,0.325203741,7,0,0.097222222,0,0,1,2,Not in Compliance - Error
51,0.201651805,100,13,600,900,100,150,33,267.6028403,1323.007134,0.20226863,0,0,0,0,1,1,4,Compliance - Correct
52,0.218657882,100,24,600,900,100,150,57,305.9881999,2832.426757,0.108030402,0,0,0,0,1,1,4,Compliance - Correct
53,0.081640499,100,12,600,900,100,150,56,243.7378179,1896.355763,0.128529584,0,0,0,0,1,1,4,Compliance - Correct
54,0.100456824,100,10,600,900,100,150,63,261.4123814,1180.635732,0.221416627,2,0,0.031746032,0,0,1,2,Not in Compliance - Error
55,0.184824314,100,15,600,900,100,150,39,273.0699017,5972.437772,0.045721682,0,0,0,0,1,1,4,Compliance - Correct
56,0.123613448,100,18,600,900,100,150,55,397.4220501,4297.790488,0.092471248,0,0,0,0,1,1,4,Compliance - Correct
57,0.131071757,100,16,600,900,100,150,13,399.3912807,783.2903494,0.509889189,2,6,0.153846154,0.06,0,0,1,Not in Compliance - Correct
58,0.089301241,100,8,600,900,100,150,76,272.7010327,1663.232012,0.163958504,2,0,0.026315789,0,0,1,2,Not in Compliance - Error
59,0.248291818,100,20,600,900,100,150,60,331.7873481,2958.859866,0.112133512,0,0,0,0,1,1,4,Compliance - Correct
60,0.163297274,100,16,600,900,100,150,70,416.2891415,4475.325342,0.093018744,1,0,0.014285714,0,0,1,2,Not in Compliance - Error
61,0.134130182,100,13,600,900,100,150,43,204.3639127,4160.417053,0.049121016,0,0,0,0,1,1,4,Compliance - Correct
62,0.247977285,100,25,600,900,100,150,71,621.4614411,3485.912061,0.178278003,1,0,0.014084507,0,0,1,2,Not in Compliance - Error
63,0.079420911,100,9,600,900,100,150,56,303.0297531,4782.032839,0.063368397,0,0,0,0,1,1,4,Compliance - Correct
64,0.229652826,100,22,600,900,100,150,17,407.5805615,2539.393172,0.160503134,0,0,0,0,1,1,4,Compliance - Correct
65,0.072317626,100,8,600,900,100,150,52,253.959621,5284.883483,0.048053968,0,0,0,0,1,1,4,Compliance - Correct
66,0.139198544,100,12,600,900,100,150,54,240.526762,5842.68893,0.041167135,0,0,0,0,1,1,4,Compliance - Correct
67,0.143153475,100,16,600,900,100,150,80,349.6719785,1182.787195,0.295633889,6,0,0.075,0,0,1,2,Not in Compliance - Error
68,0.237385598,100,26,600,900,100,150,52,408.5281438,3650.641855,0.11190584,0,0,0,0,1,1,4,Compliance - Correct
69,0.143690686,100,14,600,900,100,150,21,190.1879136,5510.951638,0.034510902,0,0,0,0,1,1,4,Compliance - Correct
70,0.230080124,100,26,600,900,100,150,67,446.1068329,4407.761472,0.101209386,1,0,0.014925373,0,0,1,2,Not in Compliance - Error
71,0.248141419,100,26,600,900,100,150,55,421.0655344,3606.842841,0.116740749,1,0,0.018181818,0,0,1,2,Not in Compliance - Error
72,0.238021208,100,25,600,900,100,150,41,433.7608457,1725.23272,0.251421643,4,0,0.097560976,0,0,1,2,Not in Compliance - Error
73,0.062126104,100,10,600,900,100,150,16,317.0502083,2858.828664,0.110902137,0,0,0,0,1,1,4,Compliance - Correct
74,0.246935611,100,32,600,900,100,150,29,944.2553372,3868.903044,0.244062807,2,0,0.068965517,0,0,1,2,Not in Compliance - Error
75,0.065020338,100,3,600,900,100,150,70,368.2199736,3412.273008,0.107910467,1,0,0.014285714,0,0,1,2,Not in Compliance - Error
76,0.090913887,100,7,600,900,100,150,80,195.2923413,119.7357124,1.631028349,42,29,0.525,0.29,0,0,1,Not in Compliance - Correct
77,0.110447953,100,15,600,900,100,150,37,260.6420028,2092.491517,0.124560602,0,0,0,0,1,1,4,Compliance - Correct
78,0.095973382,100,5,600,900,100,150,27,194.32754,1745.424931,0.111335375,0,0,0,0,1,1,4,Compliance - Correct
79,0.225779597,100,23,600,900,100,150,27,328.3057966,3280.272752,0.100084908,0,0,0,0,1,1,4,Compliance - Correct
80,0.223339311,100,23,600,900,100,150,59,336.9060779,2246.67832,0.149957417,2,0,0.033898305,0,0,1,2,Not in Compliance - Error
